MT0000202045.mp3,,,,,,,,,,,,,,
Music,Joao,Tomas,Rodrigo,MEDIA,DESVIO PADRAO,,,,,,,,,
,1.118033989,1.145931017,1.23969436,,,,,,,,,,,
MT0033841575.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0027002641.mp3,2,2,2,2,0,,,,,,,,,
MT0030487841.mp3,1,3,2,2,1,,,,,,,,,
MT0008575372.mp3,2,2,2,2,0,,,,,,,,,
MT0014576739.mp3,1,1,1,1,0,,,,,,,,Media>2.5 / Nmusicas,
MT0030422114.mp3,1,1,1,1,0,,,,,MEDIA,DP,,Precisão,%
MT0003390733.mp3,2,1,1,1.333333333,0.577350269,,,MT0000202045.mp3,,1.866666667,1.156656002,,"0,15",15
MT0027835071.mp3,5,5,5,5,0,,,MT0000379144.mp3,,2.8,1.399757848,,"0,55",55
MT0011145388.mp3,1,1,1,1,0,,,MT0000414517.mp3,,1.65,1.102001261,,"0,15",15
MT0009188643.mp3,4,4,5,4.333333333,0.577350269,,,MT0000956340.mp3,,3.45,1.566871005,,"0,75",75
MT0010617945.mp3,2,3,2,2.333333333,0.577350269,,,,,,,,,
MT0009213083.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0005331755.mp3,1,1,1,1,0,,,,,,,,,
MT0002233402.mp3,2,1,1,1.333333333,0.577350269,,,,,,,,,
MT0026727455.mp3,1,3,2,2,1,,,,,,,,,
MT0005265641.mp3,2,2,2,2,0,,,,,,,,,
MT0010344415.mp3,1,1,1,1,0,,,,,,,,,
MT0000711493.mp3,3,3,3,3,0,,,,,,,,,
MT0018029465.mp3,1,1,1,1,0,,,,,,,,,
MT0005469880.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
,1.75,2.05,1.8,,,,,,,,,,,
,,,,,,,,,,,,,,
MT0000379144.mp3,,,,,,,,,,,,,,
,1.569445091,1.234376041,1.409553867,,,,,,,,,,,
MT0009010830.mp3,3,3,2,2.666666667,0.577350269,,,,,,,,,
MT0003778826.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0015005100.mp3,5,4,4,4.333333333,0.577350269,,,,,,,,,
MT0028627699.mp3,4,4,3,3.666666667,0.577350269,,,,,,,,,
MT0012124855.mp3,1,3,2,2,1,,,,,,,,,
MT0027035970.mp3,5,5,5,5,0,,,,,,,,,
MT0000044741.mp3,5,5,5,5,0,,,,,,,,,
MT0003794106.mp3,2,3,2,2.333333333,0.577350269,,,,,,,,,
MT0005478759.mp3,1,3,1,1.666666667,1.154700538,,,,,,,,,
MT0002262181.mp3,3,4,3,3.333333333,0.577350269,,,,,,,,,
MT0031996897.mp3,2,2,3,2.333333333,0.577350269,,,,,,,,,
MT0000992846.mp3,2,3,3,2.666666667,0.577350269,,,,,,,,,
MT0001376988.mp3,1,1,1,1,0,,,,,,,,,
MT0009208842.mp3,1,1,1,1,0,,,,,,,,,
MT0010465830.mp3,5,4,4,4.333333333,0.577350269,,,,,,,,,
MT0005737276.mp3,4,4,4,4,0,,,,,,,,,
MT0018031959.mp3,1,1,1,1,0,,,,,,,,,
MT0033958450.mp3,3,4,5,4,1,,,,,,,,,
MT0008222676.mp3,1,2,2,1.666666667,0.577350269,,,,,,,,,
MT0012041920.mp3,2,3,3,2.666666667,0.577350269,,,,,,,,,
,2.6,3.05,2.75,,,,,,,,,,,
,,,,,,,,,,,,,,
MT0000414517.mp3,,,,,,,,,,,,,,
,1.341640786,0.850696309,1.100239208,,,,,,,,,,,
MT0003900455.mp3,3,3,2,2.666666667,0.577350269,,,,,,,,,
MT0009897495.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0000203193.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0000901959.mp3,1,1,1,1,0,,,,,,,,,
MT0009521580.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0013955066.mp3,1,1,1,1,0,,,,,,,,,
MT0000888329.mp3,1,1,1,1,0,,,,,,,,,
MT0004428604.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0018651126.mp3,3,2,2,2.333333333,0.577350269,,,,,,,,,
MT0009346128.mp3,1,1,1,1,0,,,,,,,,,
MT0002379222.mp3,1,1,1,1,0,,,,,,,,,
MT0034186195.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0017667847.mp3,1,1,1,1,0,,,,,,,,,
MT0000218346.mp3,1,1,1,1,0,,,,,,,,,
MT0000040632.mp3,5,3,4,4,1,,,,,,,,,
MT0002634024.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0012331779.mp3,5,4,5,4.666666667,0.577350269,,,,,,,,,
MT0001703346.mp3,3,2,2,2.333333333,0.577350269,,,,,,,,,
MT0027835071.mp3,1,1,1,1,0,,,,,,,,,
MT0009991160.mp3,1,1,1,1,0,,,,,,,,,
,1.7,1.75,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,
MT0000956340.mp3,,,,,,,,,,,,,,
,1.598519051,1.571958216,1.605090586,,,,,,,,,,,
MT0003106472.mp3,5,5,5,5,0,,,,,,,,,
MT0010736208.mp3,5,5,5,5,0,,,,,,,,,
MT0014703649.mp3,4,5,5,4.666666667,0.577350269,,,,,,,,,
MT0005409948.mp3,4,4,4,4,0,,,,,,,,,
MT0014615863.mp3,5,5,5,5,0,,,,,,,,,
MT0004882280.mp3,1,1,1,1,0,,,,,,,,,
MT0013612461.mp3,4,3,4,3.666666667,0.577350269,,,,,,,,,
MT0003724610.mp3,3,3,3,3,0,,,,,,,,,
MT0002372242.mp3,4,5,5,4.666666667,0.577350269,,,,,,,,,
MT0004032071.mp3,1,1,1,1,0,,,,,,,,,
MT0010615428.mp3,4,4,4,4,0,,,,,,,,,
MT0040033011.mp3,5,4,4,4.333333333,0.577350269,,,,,,,,,
MT0007535042.mp3,1,1,1,1,0,,,,,,,,,
MT0004293364.mp3,3,5,4,4,1,,,,,,,,,
MT0009800907.mp3,1,2,1,1.333333333,0.577350269,,,,,,,,,
MT0004028719.mp3,1,1,1,1,0,,,,,,,,,
MT0030036616.mp3,5,4,5,4.666666667,0.577350269,,,,,,,,,
MT0004085907.mp3,4,5,3,4,1,,,,,,,,,
MT0010624346.mp3,5,5,5,5,0,,,,,,,,,
MT0014794891.mp3,2,3,3,2.666666667,0.577350269,,,,,,,,,
,3.35,3.55,3.45,,,,,,,,,,,
